humillar
luchar/esforzarse
estudiar
dominar/vencer
subarrendar
sublimar
sumergirse
sobornar
suscribir
subsidiar
sustituir
sustrer
tener exito
chupar/mamar
demandar
sufrir
asfixiarse
sugerir / proponer
satisfacer/convenir
supervisar
suplantar
suplir/suministrar
apoyar/sostener
suponer
suprimir
apellidar
sorprender
rendirse
rodear
sobrevivir
sospechar
sostener
tragar/deglutir
intercambiar
trepar(por)
chapotear
sudar
aserrar
decir
ver
buscar
vender
enviar
colocar/poner
coser
zurcir/remendar
batir/sacudir
darse las manos
afeitarse
cortar(pelo) (oveja)
"derramar(sangre,lagrimas"
brillar
calzarse
disparar
presentar
desmenuzar/pelar(orange)
encogerse/arrugar
confesar a/absorver
cerrar violentamente
cantar
hundir
sentarse
asesinar/matar
dormir
deslizar
lanzar/arrojar
abortar
rajarse/henderse
oler
sembrar(conciencia)
hablar
handar velozmenta
deletrear
"gastar(tiempo,dinero)"
derramar/verter
girar
escupir
separar/partir
arruinar/estropear
regar(noticias)
brincar
pararse
robar/hurtar
pagar/adherir
pinchar/picar(animal
oler mal/heder
esparcir/desparramar
andar a pasos largos
golpear/pegar
atar/amarrar
esforzarse
jurar
barrer
hinchar
nadar
balancear/mecer 
"surgir, levantarse"
ser
golpear
"convertirse,llegar a ser"
comenzar
apostar
morder
sangrar
soplar
romper
traer
construir
comprar
atrapar
elegir
venir
costar
arrastrarse
cortar
"dar, repartir"
hacer
dibujar
soñar
beber
conducir
comer
caer
alimentar
sentir
pelear
encontrar
huir
volar
olvidar
perdonar
abandonar
congelar
"tener, obtener"
dar
ir
moler
crecer
colgar
tener
oír
esconderse
golpear
"tener, mantener"
"herir, doler"
guardar
arrodillarse
saber
encabezar
aprender
dejar
prestar
dejar
yacer
perder
hacer
significar
"conocer, encontrar"
pagar
poner
abandonar
leer
"montar, ir"
llamar por teléfono
elevar
correr
decir
ver
vender
enviar
fijar
coser
sacudir
brillar
disparar
mostrar
encoger
cerrar
cantar
hundir
sentarse
dormir
deslizar
sembrar
hablar
deletrear
gastar
derramar
dividir
estropear
extenderse
estar de pie
robar
picar
apestar
golpear
jurar
barrer
nadar
tomar
enseñar
romper
decir
pensar
lanzar
pisar
despertarse
llevar puesto
tejer
llorar
ganar
retorcer
escribir
